Restaurant,Borough,Coeliac,Vegetarian ,Cuisine
La Porchetta ,Islington ,Yes,Yes,Italian 
Bird ,Islington ,Yes ,No ,American 
Honest Burgers,Camden,Yes ,No ,Burger 
Nem Nem,Islington,Yes ,Yes ,Vietnamese 
Oliver's Fish and Chips ,Camden ,Yes ,Yes ,Fish and Chips 
Rossopomodoro ,Camden ,Yes ,Yes ,Italian 
Artisan Gluten Free Bakery ,Islington ,Yes ,Yes ,Bakery 
Cookies & Scream,Camden ,Yes ,Yes ,Bakery 
Beyond Bread ,City of Westminster ,Yes ,Yes ,Bakery 
Pho ,City of Westminster ,Yes ,Yes ,Vietnamese 
Hummingbird Bakery ,Kensington ,Yes ,Yes ,Bakery 
Dishoom ,Camden ,Yes ,Yes ,Indian 
Masala Zone ,Islington ,Yes ,Yes ,Indian 
